control1	control2	control3	moon1	moon2	moon3
8.706444	8.869493	7.124418	9.504501	10.128575	12.496505
8.63342958370465	8.6134836085296	7.55774655633355	6.36288990133673	7.99110574347549	9.6383583316359
1.397916	1.274032	1.431298	1.33392	1.227033	1.284952
7.6474656440516	8.61661383420927	7.98762373817487	7.02923666316292	7.85607871571906	7.91753502388915
4.064797	5.309831	4.065406	3.187263	3.945409	3.33776
49.7051137545064	52.2904017236051	48.7270607330472	42.0294463502146	40.208515888412	47.6328476223176
6.17142731598948	5.65345030868167	9.6758191631102	10.1576534045601	5.88621669570301	8.24564422829582
9.35743201146914	8.00811664063353	7.49983919279083	9.44767342326598	7.1363353113053	11.1251850699072
9.9462369205186	10.6572799560316	20.9005249391206	8.56305713303269	8.00995329537768	9.06607429819617
61.34301	92.429497	89.862289	69.041771	64.761219	81.568115
160.142447438084	133.155868686916	111.016441509346	154.15597141472	149.382612561916	170.026473399533
4.56215273545455	4.71408025363636	3.27239894045455	3.59491798454546	4.71797640136364	5.04963792681818
45.960289	45.498329	90.231216	78.210236	38.60601	37.447159
10.468912	7.849079	12.669941	14.232022	8.068923	6.416962
19.1792499806034	23.6240352650862	27.7696245851293	20.3923437112069	13.0389975226293	16.7322065538793
1.13940267623206	1.04491543106675	1.06337112289457	1.08598143605739	1.06112181659389	1
27.1164395640802	32.3712338482999	23.7756543391456	24.5734118256321	25.3074151168265	28.8819854533566
50.395819007767	56.8855179631068	63.0418868019418	44.5982100873786	38.0981222718447	42.5023755553398
6.534327	9.45555	7.190958	5.619212	8.341811	9.048684
1.054256	1.059959	1	1.088463	1	1.179185
4.45886955682467	4.8723399754426	3.4118371547687	3.4459524106225	3.67509980354083	3.50058053112507
2.800445	2.830667	2.183888	3.509097	3.158781	3.194905
8.18047175948196	7.64013061979649	7.52169352821462	7.58752456244218	7.59353724884366	7.96731192599445
6.2696249207671	5.98971316553116	6.15045003381277	6.19576608377492	5.30169325208176	5.57753425485743
2.039198	2.5712	2.236511	1.981525	2.781783	2.989791
19.342394	21.322792	17.462858	18.560371	18.297266	22.771273
13.6479954451248	17.4128634559586	13.7961017541215	9.92108720631182	9.65043944747998	12.568634596797
1.696015	1.372396	1.936388	1.72095	1.176679	1.07813
6.09981385439361	6.7588424778504	4.65545654756717	5.85660421822803	5.22402829702251	6.51574499709513
1	1	1	1	1	1
1	1	1	1	1	1
7.33835536665017	6.99916962345374	8.04730482483919	7.48501376298862	6.55898364077189	7.34085682533399
35.925205	28.892801	26.805269	33.045982	22.915579	26.579449
1	1	1	1	1	1
1.129017	1.174328	1.130985	1.071283	1.085197	1.205931
26.253959563086	32.0636415032078	46.6982215966442	20.6192412117125	19.637024108735	18.8781727177167
1	1	1	1	1	1
2.37824162732688	3.43972112174237	2.67001905658972	2.64396597840655	2.52026060238273	2.9330966805659
14.072695	15.064746	12.792723	14.621282	11.720762	13.540421
1.29711333712984	1.18812816742597	1.24765171070615	1.29240535421412	1.12583339977221	1.17866133712984
9.070874	12.85883	6.09255	7.122111	10.958785	13.912593
2.58413118493536	2.20654811804384	2.11294392973581	2.30398406689151	2.4721600663294	2.87763808768971
3.80409698594848	2.47746534660422	4.946242970726	4.68658039578454	2.63324125175644	3.41401653044496
1.61598310130719	3.21189743028322	3.28533930174292	1.20828987908497	1.41341233061002	1.72121742102397
1	1	1	1	1	1
1	1	1	1	1	1
1.48629849889625	1.67850222958057	2.02192988962472	1.55028445916115	1.7627757615894	1.69483772847682
7.258425	11.085778	11.718218	8.237674	9.682355	9.16345
6.475663	9.278818	6.822701	6.776505	6.902643	8.074985
8.59728467225482	9.63623256496228	8.74483272757753	6.59197681978206	7.39899551718357	7.26607994803018
1.630463	1.519187	1.598668	1.451362	1.372818	1.376782
4.20624388933333	7.15005391	2.29947350866667	4.020564442	4.949194354	7.06180928266667
1.022862	1.049207	1	1	1	1
39.803276	26.342028	36.474125	51.509758	15.678405	18.297703
1.40786006382979	1.86443806237911	1.56016583752418	1.42906965909091	1.52889240667311	2.20149508172147
13.7392878660116	19.8655036453774	13.5262571844573	13.90734711523	15.3045888561858	21.9952918834301
5.209713	5.773316	4.03146	4.710254	4.655916	4.82037
11.253043	12.287552	9.318573	10.416279	9.860274	11.595312
2.86997612657431	1.14643750881612	4.49203670214106	1.62297318702771	1.07060573173804	1.1800748488665
1	1	1	1	1	1
25.867744921419	36.8847745083071	37.9037560035923	30.9701793614728	29.9172366457117	27.6957976973507
85.9353929658422	101.819829438751	96.1248295665489	99.5911775559482	77.1214206849234	93.016504926384
1.90116566341991	1.94449478841991	1.46783298160173	1.88938842261905	1.644763004329	1.7649669025974
1.96856278885942	2.2138714535809	2.6114012265252	2.24955098567639	1.88351440318302	2.0391225071618
2.49726052807018	1.364002	1.34332478245614	1.319733	1.670018	1.24834
1.094221	1.056631	1.148402	1.134173	1	1
5.885248	2.853154	3.457198	4.685972	2.297531	3.100681
33.808002	29.814732	54.709396	52.704967	27.511644	32.410284
173.989612287928	375.804213740478	270.620574253066	171.006637702389	336.939565256294	354.879215178179
18.26144	21.377712	19.664118	24.783163	21.644039	28.17127
8.12041885435169	8.30997457726465	8.14596784547069	9.71497262344583	7.8260843374778	8.22532551687389
15.6111912958049	24.5936579286483	19.2403912205091	16.3070748429545	12.6578078164217	15.8925689204016
1.8970087798618	3.36832562240869	1.55231954886476	1.88350718311945	2.67622607996051	3.75121044274432
1.48312890431187	1.7884845717661	1.3145133992912	1.38817823567631	1.51262066036621	1.63993970880095
1.382125	1.22173	1.330708	1.308337	1.642383	1.104647
5.17032273250807	3.26988647416577	3.02795106350915	3.91934647900969	2.90755166523143	4.14610544833154
1.184006	1.061745	1.121444	1	1.102488	1.15097
1.56710060768501	1.37737618833017	1.45700199240987	1.41813275426945	1.38009927893738	1.70524155218216
14.23964	16.76794	15.775276	14.645954	12.260398	16.79418
4.021601	3.555962	3.033164	3.858369	3.741663	3.455204
32.867355	34.409252	32.109104	25.520834	26.03009	37.780205
4.507798	7.914846	5.19888	5.110096	5.126404	5.758692
15.483306	16.947508	12.687052	14.817559	13.418847	17.30735
2.51936372816008	2.34988276281113	2.39187326793558	2.43131666910688	1.80843657979502	2.84011002830649
19.8795094112595	31.0211178730916	11.2139994675573	21.2313046040076	24.9320913788168	40.0319202013359
3.85454456664561	3.63987062097284	3.02500201389766	3.10841386860392	2.86906375173721	3.23664798041693
18.000418	17.62133	14.852709	12.653894	11.040852	14.614341
32.367115	40.799236	31.928509	29.553673	30.186569	38.770275
7.90912637635151	11.6029945185185	19.4165008109041	6.36767783758914	9.78414565010352	9.6738945721187
53.5571287	54.2488506225806	44.9064934	53.4272876354839	45.6872256419355	60.426452383871
2.563486	2.155233	1.78042	2.09554	1.447305	1.702275
30.345102	41.337006	29.790174	28.21328	32.931999	40.396534
4.37031918939955	4.66810799036323	4.37020824166049	4.711637448851	3.65438676241661	5.30133020941438
1.437624	1.288804	1.538626	1.450215	1.44578	1.166144
5.87216740417457	5.28033743580013	6.38336981340923	4.48358650347881	4.00684102024035	4.93946025806452
1	1	1	1	1	1
1.37124343570482	1.30297613521874	1.34030317808219	1.34610311533363	1.36049591250552	1.2240369951392
1	1	1	1	1	1
1.497787	1.576218	2.005722	1.711246	1.455396	1.759931
19.151984981898	22.2441031936369	16.0562041695008	18.112084858475	16.4844391991223	20.7615243230938
7.35117245508224	6.92037236988612	5.45873406115563	6.36834274103754	5.95391864318853	7.00431425769717
