h_alta1	h_alta2	h_alta3	h_alta4	h_baja1	h_baja2	h_baja3	h_baja4
1.02435656178302	0.90019714550355	1.18604536499858	0.80764672914124	1.96403629557475	1.63347724565952	1.79120353094893	2.02524358763994
1.94063694427066	2.00318865449056	2.01921960233928	1.85982573273745	1.93065290445529	1.86025464985485	1.94467940655671	2.38812399766724
0.84622450936591	0.617514802008873	0.632637728232527	0.883474696569589	1.91274527503977	1.65093454819899	1.91899328760588	2.12678137156655
3.22382664613127	3.20538038891911	3.18571804672363	3.25862891238351	3.18273715354487	3.29643252300035	3.14143989766809	3.45739094558034
1.53637921090261	1.91610283290084	1.48250137514961	1.76401189965188	1.76112014129315	1.98959173179856	1.98154326247168	1.9822565513581
5.4925857404034	5.50646983361445	5.57609083142802	5.41223810013918	5.60925153361275	5.61893017655307	5.70566896509256	5.9169836674988
7.0411919378091	7.24787239822854	7.31492464753059	7.12798673263104	7.22704798746677	7.14915144737776	7.19264852841477	7.52826742364451
2.2501169674738	2.52841126459841	3.00282994861217	2.50970432592866	1.85038788306439	2.33621067843359	2.37182626297203	2.85724179217166
4.9023636411212	4.68697454762205	4.78158129541213	4.78451015362732	4.78015947331187	5.00763124898519	4.76854266148902	5.15360585331527
5.88500776593405	5.94866024998622	5.80340886035815	5.85298653023698	6.02656126470202	6.06106376662336	5.94698443220677	5.86501553634611
5.33417250011211	4.99988260334096	5.02490425877584	5.43388594730595	5.74013508312744	5.73006094921771	5.69022016923828	5.28900657586436
0.526233346026165	0.440447866112874	0.6806338718564	0.529558575420903	0.643489261256617	0.614641230798236	0.521177696703744	0.603125513052659
6.75098016644154	7.16564247339382	7.22898055179922	7.21244710534293	6.79851599662985	6.63826166500643	7.13876160351222	6.96980288996035
2.52800913336132	3.02002172679555	2.77101632000255	2.84054500944878	1.44395508389709	1.51966468191061	1.38656210839266	1.63979384814328
5.31481783245829	5.35279515200442	5.41412515248556	5.84312093449799	6.30031157928124	5.12850214426929	6.16416598239175	5.54835137872018
0	0	0	0	0	0.0304028735595541	0	0
3.65023644059964	3.65512491587288	3.77437195500766	3.7218526672427	3.82937796811948	3.72245663325849	3.67468877305704	3.55833242012202
5.27664125306071	5.06843305382379	5.16090045535089	5.14077158196071	5.01590083874243	5.27003411546067	5.47559769894198	5.57484188265974
2.59312545568825	2.91629567518017	3.07355240173992	2.7151597591821	2.83249248426175	3.14349366586154	3.06204864252842	2.86304877844971
0	0	0	0	0	0.13459158918405	0	0.189990241903207
1.23954675138693	1.22471138070613	1.23199421225671	1.2758987184688	0.817131943595208	1.10686328449916	0.508138404909348	0.756500700186076
1.12337617169684	0.95271227070771	0.91679228304693	0.770302181189201	0.89559190697862	1.15457672851097	0.674052010886303	0.762700888080915
2.46586364240794	3.0127823959667	2.63896714400671	2.34849978012062	2.91479956794712	3.091957229352	2.93598690818131	3.29406838538099
2.42828786251945	2.40269591098312	2.64394344663246	2.46531149231219	2.55238949976334	2.71024481093815	2.64671241112989	2.7912358506656
1.15005204456238	1.12035194036522	0.941211503624726	1.34412060759897	1.13114429385358	1.11678858591598	1.14178851592885	1.10211655722125
3.50648833068758	3.73649198785744	3.72486349546938	3.70289243313825	3.65479536772269	3.67666188357499	3.75282211560875	3.97775881876128
1.95016738968689	2.3051079304022	2.31038507575617	2.2089042573396	2.81690213164804	2.31299509857939	2.78381520514531	3.55130831290834
2.12116364269742	2.07241008955386	2.47432285571956	2.21042845384823	3.65470201152275	3.35379300814229	3.64317958028723	3.22670734907869
2.31951926790655	2.05595480349751	2.31102104899128	2.73623518401964	2.67853108528685	1.9128397393983	2.28996950863057	2.3981931151301
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
2.13176207030594	2.26767660774733	2.31338047025167	2.33383027170975	2.1036711713151	2.17221355779326	2.33652823022218	2.63521817690338
4.47426184499457	4.23931562350143	4.27359384087009	4.67652637947664	3.73628599689597	3.93950446255769	3.63498560026779	3.18788823048356
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
6.88383526984132	6.9937310257998	6.89049981759536	6.57001132505503	6.92186381120748	7.06770087119441	6.93986449307613	7.0608198162181
0	0	0	0	0	0	0	0
2.4474116273297	2.16998571701257	2.34233928380953	2.6625489280044	2.14457879337122	1.77551050843283	1.95288251716194	2.46940022364427
3.20263853654014	3.26824034433191	3.08433950746677	3.37781993489317	3.06334365031604	2.81626566706985	3.06435398485958	3.41137133006744
0.141800061341325	0.192637399637687	0.228018884961902	0.125941691935675	0	0.193569247259559	0.217097835297837	0.2567465333099
4.24155802216579	4.14051822745941	4.15364541500708	4.34701814058552	4.27140191983774	3.86405427753955	4.36381222589654	4.37661205012936
0.350993605631344	0.259576900315851	0.31349401896533	0.406862705337135	0.172566146832166	0.54442547415253	0.42718038934219	0.413840498357136
0.153117753484551	0.672850440379198	0.370790957598795	0.303877073691661	0.821380487307493	0.961380914093514	0.445025787582426	0.594343668593083
3.24293027685653	3.7163266301368	3.67681572079917	3.33667787160675	3.11245905052427	3.59838391772983	3.31967101692709	3.36503186392833
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
2.47248926112501	2.49291629959063	2.72932370375893	2.46473743054223	3.48043259888899	3.46723455855783	3.63464548110909	3.30855875418308
5.00899317403157	5.14801801955352	5.27838875688548	5.05445493736755	4.64016943682216	4.94567287017712	4.73478629099537	5.24221087501163
2.78948888649636	2.64680089699276	3.02740692571129	3.18344681399458	2.75356816895375	2.47517076745324	2.57336264937135	2.95394609744714
1.59752729406893	1.73804176352958	1.87432456050243	1.78722799913668	1.75915253278229	1.72851964173238	1.59505895368537	2.07977022702314
0.332395160684802	0.392101964231349	0.190492233820511	0.599210182728117	0.205999243235183	0.282144415207854	0.257663606822781	0.557573797908617
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
5.03579139338417	4.82689408257749	4.73596120100824	6.14035112042733	6.71070365781528	5.23679685336344	6.77014434327749	5.40100553426915
0.0521521894793074	0.0240498824625331	0	0.0276701670451412	0.160689743444764	0.0395453113983666	0.189595579834639	0.0782604260174301
5.24948131413913	5.47136178257704	5.64423879618261	5.35472311135218	4.83077551542505	5.02135553808488	5.05402250182758	5.16316541591956
2.07658987776993	2.2442571883032	2.27941453762732	1.76431430434083	2.69081554170745	2.66928216343907	2.96037899979524	2.6538160297233
3.06877965351522	3.0083613881137	3.12746159870546	3.17665819216078	3.22045053561682	3.34046741547421	3.17183194523539	3.23895327953263
3.33829267546126	3.59959471055892	3.74734229049297	2.9109578976137	4.28993579840838	4.38976808623345	4.72364586017177	4.53181470353631
0	0	0	0	0	0	0	0.120471385791818
6.02883901192527	6.22690821174348	6.17039513569741	6.27112561507216	4.96402705973725	4.89307652836351	4.97061923263498	4.89778770123055
6.1433238650454	6.24013412019889	6.23517173442054	6.40324492145185	6.04987629804751	5.92830323974361	6.05719130745262	6.52924616893106
1.33122283247886	0.543215345685246	0.84943565324224	1.78307454699138	1.57588150167397	0.93889318901613	1.41839843745222	2.28415191515122
0.266928030288315	0.317366842728599	0.166036672412663	0.452634628647125	0.770243136452283	0.691992359987412	0.46785553499275	0.637083313894235
0.625246171457548	0.868995267422051	0.925192077427417	0.827414645445997	1.83000899185133	1.23684164806908	2.00707565023668	1.45589619683579
0.0785278610584065	0.376062512889657	0.578536875621866	0.414858594001417	0.0855388707545522	0.149780931003513	0.281774202840959	0.313386340802048
0.163114821276217	0.112682786947485	0.468595828129085	0.524278358508969	0.132801865806167	0.23585937739167	0.110320476407585	0.153752166113492
4.53625256287923	4.81572870706791	4.89011292748432	4.68757976354407	4.750921323135	5.29933507987504	5.2585499415675	5.02770615011921
7.69145620706326	7.91041983473999	7.90171653042391	7.80588287757165	7.00969947691889	7.56834610577866	7.59739074782098	7.24266354885631
5.01982621034077	5.15060804991399	5.30782575811164	4.96566337020923	4.61399556272078	4.8211754821421	4.67154570880348	4.95639451210555
0.853345789209404	0.41027054218297	0.8317570917405	0.527700938739735	0.621890111376207	0.604328518081541	0.719505902103244	1.08256771351769
3.17780782648056	3.03488855934872	2.97016259707813	3.40629002944808	4.2534003476168	3.20655225860088	3.76945084427729	3.50820491841061
0.334867575549972	0.385973494890236	0.448352585891771	0.663597929533718	0.417310970608764	0.401805742285357	0.236538199300935	0.531470402523981
0.739860427738736	0.807589083951603	0.919606908606923	0.736407349474759	1.03290881670417	0.942692576203835	0.960979404121212	0.976604919299613
1.10346742587825	0.477874163011502	1.08900519101964	0.943741329979164	0.736614399451123	0.484687771942929	1.10795362206655	1.49913868161665
0.321665006563489	0.376140279093875	0.459337616630581	0.351387464079772	0.612306285225717	0.538020247108952	0.55383677548475	0.393893242876651
0	0.244303775891186	0.0491971971146263	0.0816218662635638	0	0.13303737874735	0.153051695836062	0.0990352601340313
0.442346860936673	0.507112610740407	0.525314192706888	0.656239303412552	1.17197739201381	0.80742266104166	1.02036778016205	0.925761514551518
3.83106032703382	4.02547562400434	3.98173102349221	3.89361626194192	4.19956391290577	3.7216540614729	4.09807403634353	4.22723724582838
1.0319992512841	0.961777405075034	0.789843577559059	0.850721026698831	1.18693786375839	0.946350582228193	1.18737377037888	1.37942799839289
3.13133727049837	3.05898884608022	3.17496018696046	3.33318827469617	4.71664992827288	3.91291500519802	4.88743899889788	3.95910706779106
2.21694121739726	1.98882208841171	2.69211313669232	2.46560884839559	2.22285957278932	1.80479248236872	2.35233028496546	2.5652228064098
2.17951200569837	1.94832798040023	2.16166682835512	2.16295890878091	2.32094095383866	2.52840403655891	2.32105875352281	2.36546662604978
1.44663812193724	1.68082967058447	1.85270506596958	1.46831626736339	1.49395823612107	1.69926241861406	1.33513762908754	1.86684705483968
0.252564951659784	0.181559222821003	0.212934824716925	0.0810687050488772	0	0	0.395444859181936	0.343926486233272
1.04671747195924	1.08795703782433	1.08673015063798	0.890687686591639	1.19330036958422	1.2292464583499	1.32599760959655	1.32243797769466
1.7654239940515	1.65682079744611	1.75901859010758	1.91810224747359	2.00155799043884	2.09670545743722	2.06163451279325	1.99082056555169
2.47631428245073	1.98358102542002	2.02385076257429	2.05301503769719	1.99419519565184	2.44476644083308	1.99634282534832	2.04425386509595
6.1882227110965	6.20401362510724	6.21247005984749	6.09068710614421	6.22614733530287	6.14847745166798	6.14879395089181	6.39747417345479
4.85701243105395	5.01035522676622	5.09840595912126	5.09415760202774	5.13168885111768	5.03610046181433	4.98535063927912	5.39658418856903
0.0739024748453342	0.246606311176235	0.379949162793783	0	0.328604419774621	0.270050456396186	0.188927516628249	0.571083593547032
3.51966002763262	3.56129533907732	3.64525630933153	3.68949665085079	3.65677001046427	3.70771019577787	3.73101136811518	4.0669542896628
2.77370753987095	2.44811603148193	2.85620564270098	2.49035067468269	3.22195267055032	3.23170605069002	3.47954815889388	3.60172849534715
0.0429482518262764	0.210544721955508	0.561605727001338	0.524879099719933	0.587405318620215	0.367202182158509	0.499579067447627	0.123487420962204
2.45575683861481	2.58812580057425	2.31049318322059	2.4452924658046	2.57974340173793	2.43554086003642	2.37901123651498	2.84238954492447
0	0	0	0	0	0	0	0
0.38215868507119	0.525935679241027	0.395323592530949	0.207871969720509	0.307831008245404	0.229864301295697	0.149883877132789	0.393258466860269
0	0	0	0	0	0	0	0
1.78863267859103	1.34120984104787	1.23469750884256	1.58291145469483	1.90099969882251	2.00476455895241	1.73529990715548	1.5970696286812
3.89527025996774	3.83267004054218	3.78806829458775	3.83290956796408	3.63171419700491	3.69228991880962	3.74415401838507	3.84281368552385
