h_alta1	h_alta2	h_alta3	h_alta4	h_baja1	h_baja2	h_baja3	h_baja4
2.034052	1.866321	2.275282	1.750354	3.90152	3.102599	3.461035	4.070606
3.83875089688097	4.00885060471038	4.0536445862508	3.62963816040738	3.81227688160407	3.63071742202419	3.84952224252069	5.23476218714195
1.79779	1.53423002677165	1.55039704724409	1.84481314330709	3.765249	3.14037	3.78159087244094	4.36742028661417
9.3426164830387	9.22392248399427	9.09906337267081	9.57072962207358	9.08028231820354	9.82483053463927	8.82404346727186	10.9844516445294
2.900656	3.774022	2.794328	3.396413	3.389612	3.971246	3.949153	3.951106
45.0228581613734	45.458237167382	47.7057358145923	42.5839567244635	48.8149630420601	49.1435501270386	52.1888231656652	60.4212308034335
131.707339940953	151.994193261619	159.225175018123	139.874264281789	149.816009262496	141.941381941538	146.28606415551	184.601110765858
4.75721413872201	5.76935990496996	8.01570796832332	5.69503349044238	3.60597122173676	5.04974549481158	5.17595926379028	7.24628622228291
29.9060121645998	25.7584619627959	27.5042240180383	27.5601178799324	27.477131078354	32.1697149836528	27.2567691978579	35.5950778957159
59.096786	61.762543	55.847038	57.799557	65.189209	66.767021	61.690842	58.283497
40.3409317254673	31.9973961647196	32.5571894906542	43.2277531869159	53.4506313247664	53.0786932885514	51.6329516775701	39.0975574614486
1.44016423636364	1.35702553318182	1.60284383636364	1.44348746090909	1.56210265136364	1.53117717681818	1.43512628818182	1.51900383590909
107.707893	143.573181	150.01683	148.307434	111.31591	99.612968	140.922836	125.348671
5.767752	8.111798	6.825886	7.162906	2.720657	2.867244	2.614549	3.116213
39.8033466627155	40.8650374633621	42.6396931971983	57.4056540689655	78.8102612920259	34.9810610366379	71.7131598491379	46.797234762931
1	1	1	1	1	1.02129728384279	1	1
12.5554030793374	12.5980183783784	13.6835622816042	13.1943892545772	14.2153524908457	13.1999140749782	12.7700190584133	11.7805290078466
38.7638847359223	33.5544697514563	35.7755106679612	35.279827015534	32.3546426679612	38.5867629378641	44.4958135359223	47.664454576699
6.034045	7.549053	8.418437	6.56666	7.123037	8.836614	8.351577	7.275512
1	1	1	1	1	1.097782	1	1.140756
2.36124337921188	2.33708690291262	2.34891451913192	2.42149616561965	1.76189987778412	2.15376864306111	1.42221384408909	1.68938799029126
2.178562	1.935508	1.887913	1.705627	1.860373	2.22619	1.595548	1.696664
5.52457560777058	8.07119558741906	6.2288556706753	5.09294373913044	7.54122851988899	8.52652110453284	7.6527958186864	9.80874381498612
5.38254271158213	5.28790372697451	6.2503780229624	5.52246163966692	5.86605053520061	6.54432688115064	6.26238589275801	6.92222507216755
2.219219	2.174	1.92014	2.538754	2.190324	2.168637	2.206544	2.146694
11.364705	13.328957	13.221954	13.02212	12.595141	12.787496	13.480687	15.755229
3.86419363542157	4.94204425718323	4.96015455864343	4.62324000047103	7.04647696373057	4.96913624493641	6.88671133113519	11.723312073952
4.350447	4.205887	5.557064	4.628127	12.594326	10.223328	12.494139	9.36129
4.99165860748003	4.15818747167756	4.96234159114016	6.66329230936819	6.40203731263617	3.76549554793028	4.89045774981845	5.27142537799564
1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1
4.3825242389906	4.81546997575458	4.97046377436912	5.04142042503711	4.29801694705591	4.5071440435428	5.05085711726868	6.21269046610589
22.227316	18.886921	19.341045	25.57259	13.327054	15.342955	12.423378	9.112761
1	1	1	1	1	1	1	1
